Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC,Recip_Administered,Census2019_18PlusPop,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K
2021-03-30,FL,FLA,Florida,21477737,Report,12577115,9405368,58559,43791,4477216,4686858,228591,12703,5916809,27.5,14.4,5905720,34.2,9392695,54457,72920,3394140,75.5,6021810,133897,279657,3086323,3084889,17.9,5625200,6446115,505800,0,1470276,1611844,226884,4203,1469691,1610995,226779,4203,1113902,1151758,75149,3605,3313207,15.4,3311668,19.2,2344414,52.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,FM,FMA,Federated States of Micronesia,103643,Report,53900,24538,52005,23676,24538,0,0,0,15046,14.5,9.2,15036,18.6,24528,30341,66673,1417,8,2411,13684,305920,9550,9550,11.8,52600,0,1300,0,9531,19,1,0,9531,19,1,0,1018,4,0,0,9551,9.2,9551,11.8,1022,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,GA,GAA,Georgia,10617423,Report,5724605,3786303,53917,35661,1927536,1789863,68644,260,2465539,23.2,11.4,2456235,30.3,3776363,46544,70556,1035616,68.3,1837799,121151,377375,1213942,1213358,15,2706400,2842905,175300,0,655504,558269,66219,169,655429,557760,66100,169,429033,306136,8537,105,1280161,12.1,1279458,15.8,743811,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,GU,GUA,Guam,165768,Report,87860,85003,53002,51278,38862,45964,177,0,52535,31.7,19.1,52000,40.2,84446,65311,67951,12297,43.6,22472,79742,311770,31689,31669,24.5,38200,48360,1300,0,15939,15750,176,0,15937,15732,176,0,4413,5585,26,0,31865,19.2,31845,24.6,10024,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,HI,HIA,Hawaii,1415872,Report,938870,692706,66310,48924,248846,340951,9149,93760,444099,31.4,17.9,442043,39.6,690979,61915,84128,166211,61.9,261210,97304,349740,252843,252546,22.6,398300,512070,28500,0,97227,137580,9292,18036,97179,137348,9274,18019,46384,49064,2701,1408,262135,18.5,261820,23.5,99557,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,IA,IAA,Iowa,3155070,Report,1773355,1525091,56207,48338,785087,699799,40086,119,962503,30.5,17.8,959836,39.5,1521572,62662,73031,436220,78.9,758721,137212,320706,562875,561961,23.1,845900,863655,63800,0,303913,258937,40220,25,303901,258035,40209,25,167613,154590,3263,18,603095,19.1,602170,24.8,325484,58.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,ID,IDA,Idaho,1787065,Report,942735,740943,52753,41461,357562,368276,14861,244,454535,25.4,15.4,454497,33.9,740914,55339,70413,205885,70.8,363173,124943,324332,274615,274604,20.5,452500,458835,31400,0,137201,137362,14672,52,137199,137353,14666,52,72368,82757,4260,29,289287,16.2,289270,21.6,159414,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,IH2,IH2,Indian Health Svc,2082813,Report,1473725,948459,70756,45537,530105,410302,8052,0,593604,28.5,16.7,582948,0,933278,0,0,134066,0,232789,0,0,347888,343424,0,831300,603525,38900,0,186854,161034,7929,0,186764,156660,7917,0,54186,41618,896,0,355817,17.1,351341,0,96700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,IL,ILA,Illinois,12671821,Report,7256585,5843688,57266,46116,2731905,2989185,120108,2490,3865951,30.5,15.3,3852144,39.1,5826375,59127,73641,1501935,73.5,2393281,117132,355152,1943475,1940140,19.7,3306200,3693885,256500,0,924094,1018568,117492,813,923789,1015539,117256,812,436705,457358,24888,533,2060967,16.3,2057396,20.9,919484,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,IN,INA,Indiana,6732219,Report,3519900,2744163,52284,40762,1236788,1447722,55696,3957,1678147,24.9,15.6,1676884,32.5,2742498,53105,68159,783535,72.2,1453704,133890,324193,1047223,1046799,20.3,1630300,1751100,138500,0,484279,561577,56038,1367,484244,561188,56030,1367,342742,306706,7595,994,1103261,16.4,1102829,21.4,658037,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,KS,KSA,Kansas,2913314,Report,1670955,1269292,57356,43569,654369,592752,21926,245,859214,29.5,15.7,856464,38.7,1266096,57210,75504,371637,78.2,586324,123310,351420,458758,457982,20.7,821200,793455,56300,0,240595,218056,22615,107,240572,217303,22605,107,121938,115472,5189,71,481373,16.5,480587,21.7,242670,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,KY,KYA,Kentucky,4467673,Report,2559795,2074948,57296,46444,983669,1045896,45227,156,1373108,30.7,16.1,1368383,39.5,2068816,59710,73880,539049,71.8,866985,115511,341050,718752,718016,20.7,1180100,1291095,88600,0,342520,376127,43052,105,342500,375411,43032,105,152226,192672,13138,69,761804,17.1,761048,22,358105,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,LA,LAA,Louisiana,4648794,Report,2705530,1920242,58199,41306,852310,1014593,52525,814,1195911,25.7,14.8,1192676,33.5,1916758,53824,75973,513692,69.3,935672,126268,365108,688251,688052,19.3,1248800,1363830,92900,0,281233,406652,51069,366,281209,406478,51038,365,180108,222822,11199,75,739320,15.9,739090,20.8,414204,55.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MA,MAA,Massachusetts,6892503,Report,4117900,3535818,59745,51299,1717158,1733633,84966,61,2316988,33.6,17.3,2309308,41.7,3525562,63642,74334,952267,81.4,1533199,131118,352158,1190372,1187988,21.4,1935200,2063100,119600,0,584773,605590,85084,9,584629,603350,85023,9,265545,315130,39298,5,1275456,18.5,1273011,23,619978,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MD,MDA,Maryland,6045680,Report,3531380,2736823,58412,45269,1307625,1355361,72103,1734,1842092,30.5,15.5,1836567,39,2730226,57954,74960,715945,74.6,1119639,116702,368084,936365,935335,19.9,1610200,1818180,103000,0,456593,479288,71031,484,456546,478305,71014,484,210850,210697,25746,229,1007396,16.7,1006349,21.4,447522,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,ME,MEA,Maine,1344212,Report,823870,687989,61290,51182,332972,333104,21858,55,455583,33.9,17.8,455192,41.6,687402,62755,75214,235743,82.6,380483,133379,288809,238746,238533,21.8,397700,395070,31100,0,117864,120866,21957,16,117842,120675,21953,16,65939,80960,10801,7,260703,19.4,260486,23.8,157707,55.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MH,MHA,Marshall Islands,58413,Report,35800,20342,61288,34824,20342,0,0,0,12452,21.3,13.4,12421,27.3,20308,44572,78574,831,8.4,1388,13978,360524,7839,7834,17.2,35000,0,800,0,7837,2,2,0,7832,2,2,0,555,0,2,0,7841,13.4,7836,17.2,557,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MI,MIA,Michigan,9986857,Report,5813980,4329057,58216,43348,2044686,2198720,85651,0,2801025,28,15.8,2795295,35.6,4322604,55115,74130,1245112,70.5,2106404,119316,329329,1574478,1573593,20.1,2720900,2933580,159500,0,709659,864750,86624,69,709579,863945,86583,69,423152,465209,23196,56,1661102,16.6,1660176,21.2,911613,51.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MN,MNA,Minnesota,5639632,Report,3009780,2702080,53368,47912,1248786,1385692,67405,197,1753301,31.1,17.1,1747773,40.3,2695668,62163,69406,752343,81.7,1252506,136085,327014,963611,962663,22.2,1403500,1510080,96200,0,435457,528107,68139,47,435413,527203,68113,47,215617,301626,31477,19,1031750,18.3,1030776,23.8,548739,59.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MO,MOA,Missouri,6137428,Report,3303985,2481467,53833,40432,1029058,1407005,45087,317,1550103,25.3,13.9,1547362,32.5,2477837,51981,69312,703022,66.2,1187349,111799,311099,852738,852068,17.9,1527600,1685385,91000,0,342191,510507,46470,40,342151,509878,46450,39,201109,246030,13988,18,899208,14.7,898518,18.8,461145,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MP,MPA,Northern Mariana Islands,56882,Report,61310,28165,107785,49515,3829,24302,34,0,16374,28.8,20.7,16273,36.7,28051,63223,138185,2255,23.3,4292,44385,634023,11775,11762,26.5,17800,42510,1000,0,1540,10235,35,0,1540,10222,35,0,298,1737,31,0,11810,20.8,11797,26.6,2066,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MS,MSA,Mississippi,2976149,Report,1629955,1137212,54767,38211,575531,533404,27547,730,724564,24.3,13.9,722860,31.7,1135306,49847,71566,316191,65,531475,109201,334904,412339,412158,18.1,804800,781755,43400,0,209951,202375,26864,13,209927,202218,26849,13,118777,101569,7853,4,439203,14.8,439007,19.3,228203,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,MT,MTA,Montana,1068778,Report,644705,504919,60322,47243,262253,233296,9246,124,318968,29.8,17.5,317519,37.8,503045,59873,76733,144856,70.2,244952,118657,312301,186612,186205,22.2,321500,300105,23100,0,98946,87631,9192,35,98925,87245,9187,35,51410,50379,2805,19,195804,18.3,195392,23.3,104613,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NC,NCA,North Carolina,10488084,Report,5775070,4609430,55063,43949,1972737,2516642,119722,329,2983429,28.4,14.9,2968387,36.3,4592817,56096,70536,1248854,71.3,2266841,129453,329798,1566161,1564624,19.1,2625300,2945670,204100,0,650899,915236,117841,26,650752,913846,117610,26,454702,518264,16645,20,1684002,16.1,1682234,20.5,989631,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,ND,NDA,North Dakota,762062,Report,463590,410932,60834,53924,191981,209089,9862,0,244790,32.1,19,243594,41.9,409319,70343,79670,92001,76.8,173655,144900,386825,145047,144748,24.9,225000,222690,15900,0,69744,75303,8798,0,69721,75027,8784,0,36954,36972,1395,0,153845,20.2,153532,26.4,75321,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NE,NEA,Nebraska,1934408,Report,1146140,916701,59250,47389,426421,466438,22041,1801,585025,30.2,16.8,583292,40,914510,62709,78592,244011,78.1,425670,136233,366814,325209,324739,22.3,519700,583440,43000,0,155089,169624,22674,496,155057,169186,22668,496,82571,94165,1832,386,347883,18,347407,23.8,178954,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NH,NHA,New Hampshire,1359711,Report,768055,607126,56487,44651,319963,272299,14837,27,412057,30.3,16.1,410768,37.2,605412,54815,69541,209854,82.7,314756,123986,302546,218556,218158,19.8,370300,376155,21600,0,123884,94666,15591,6,123793,94359,15576,6,60336,54921,8684,3,234147,17.2,233734,21.2,123944,48.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NJ,NJA,New Jersey,8882190,Report,4856725,4292515,54679,48327,2063974,2134405,93661,475,2903068,32.7,17.1,2889427,41.6,4274829,61565,69945,1042465,70.6,1642053,111285,329150,1520137,1516040,21.8,2271900,2459925,124900,0,724072,796058,93785,7,723973,792060,93760,7,300212,339717,27020,5,1613922,18.2,1609800,23.2,666954,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NM,NMA,New Mexico,2096829,Report,1428785,1242292,68140,59246,561592,656880,22400,1420,787206,37.5,22.2,779730,48.1,1232541,76036,88143,281097,74.4,459965,121811,378380,465210,461373,28.5,651500,729885,47400,0,199485,265363,21673,362,199391,261620,21638,362,85185,98892,7872,218,486883,23.2,483011,29.8,192167,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NV,NVA,Nevada,3080156,Report,1607680,1335002,52195,43342,581235,724950,28817,0,845896,27.5,14.9,844329,35.4,1333097,55836,67337,342623,69.1,593715,119707,324147,458423,458114,19.2,766900,788580,52200,0,201606,256816,28415,1,201586,256527,28412,1,108711,126719,8467,0,486838,15.8,486526,20.4,243897,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NY,NYA,New York,19453561,Report,11600475,9023541,59632,46385,4171034,4647102,204240,1165,5935139,30.5,15.2,5918109,38.4,9001785,58357,75204,2178373,66.1,3463671,105082,351941,2956342,2951491,19.1,5198800,6081075,320600,0,1362955,1593167,202116,220,1362774,1588497,202066,220,616417,667866,60108,142,3158458,16.2,3153557,20.4,1344533,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,OH,OHA,Ohio,11689100,Report,6797795,5219217,58155,44650,2484775,2585345,144807,4290,3354361,28.7,15.4,3347832,36.7,5210839,57192,74610,1469850,71.8,2561371,125170,332196,1796768,1795100,19.7,3075600,3482895,239300,0,894500,901091,142352,1177,894447,899480,142324,1173,489296,572629,40186,793,1939120,16.6,1937424,21.3,1102904,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,OK,OKA,Oklahoma,3956971,Report,2584315,1895546,65310,47904,879675,984971,30889,11,1206550,30.5,16.6,1198375,39.9,1885889,62764,86008,466958,73.5,818130,128813,406894,657624,656422,21.8,1252800,1263015,68500,0,299743,357880,30721,1,299707,356714,30709,1,182704,160358,6685,0,688345,17.4,687131,22.9,349747,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,OR,ORA,Oregon,4217737,Report,2401575,1821492,56940,43186,868616,911673,40080,1123,1169185,27.7,15.4,1165048,34.8,1815488,54175,71664,545212,71.2,805707,105173,313489,648063,646213,19.3,1142000,1170975,88600,0,308794,339079,39879,190,308614,337409,39850,190,118905,147551,23953,95,687942,16.3,686063,20.5,290504,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,PA,PAA,Pennsylvania,12801989,Report,7404805,5947782,57841,46460,2792072,3026036,129550,124,4003172,31.3,15.3,3993153,39.3,5934441,58367,72829,1761483,73.6,2710584,113254,309389,1953164,1949660,19.2,3470100,3704805,229900,0,929846,1023213,131755,105,929645,1019911,131742,104,469518,473547,17953,65,2084919,16.3,2081402,20.5,961083,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,PR,PRA,Puerto Rico,3193694,Report,1893570,1062627,59291,33273,431808,612787,17781,251,692863,21.7,11.8,692242,26.4,1061906,40516,72247,309431,57,478185,88075,348770,375660,375531,14.3,911200,933270,49100,0,148638,227014,17861,8,148617,226906,17852,8,76469,95835,4389,1,393521,12.3,393383,15,176694,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,RI,RIA,Rhode Island,1059361,Report,645515,552753,60934,52178,263767,275807,13178,1,345689,32.6,19.4,345055,40.4,551953,64566,75511,155669,83.2,268066,143316,345110,205834,205661,24.1,301800,327015,16700,0,104957,100874,13047,3,104953,100705,13047,3,51341,61350,2136,2,218881,20.7,218708,25.6,114829,61.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,RP,RPA,Republic of Palau,17907,Report,15000,13381,83766,74725,13237,1,143,0,8404,46.9,28.5,8404,60.2,13381,95804,107396,1450,47.6,2674,87845,492773,5107,5107,36.6,14600,0,400,0,5094,13,143,0,5094,13,143,0,1251,8,83,0,5250,29.3,5250,37.6,1342,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,SC,SCA,South Carolina,5148714,Report,2827065,2124443,54908,41262,820040,1257134,46244,1025,1387610,27,13.9,1384001,34.3,2120271,52514,70020,685721,73.2,1178319,125751,301707,717507,717008,17.8,1268700,1459965,98400,0,255046,462258,45114,203,255009,461796,45075,203,195382,295092,9352,139,762621,14.8,762083,18.9,499965,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,SD,SDA,South Dakota,884659,Report,604605,489525,68343,55335,240049,240846,8617,13,304480,34.4,21,303089,45.4,487692,73056,90570,127252,83.8,227578,149850,398104,186122,185688,27.8,296000,288405,20200,0,91929,94188,8562,5,91915,93768,8559,5,51031,51010,1228,2,194684,22,194247,29.1,103271,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,TN,TNA,Tennessee,6829174,Report,3618130,2596336,52980,38018,1213715,1326890,52660,3071,1677569,24.6,12.7,1673742,31.5,2592213,48734,68021,750282,65.6,1279980,111946,316438,865561,865299,16.3,1738800,1753830,125500,0,399431,465286,52428,844,399408,465048,52362,843,253045,251076,10036,567,917989,13.4,917661,17.3,514724,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,TX,TXA,Texas,28995881,Report,15184925,11357324,52369,39169,5203086,5881963,271756,519,7336199,25.3,12.4,7298021,33.8,11299671,52323,70313,2610220,69.9,4202013,112527,406642,3597534,3578812,16.6,6777500,7826325,581100,0,1688406,1908368,266094,375,1679619,1898436,264709,373,736820,832812,116123,164,3863243,13.3,3843138,17.8,1685920,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,UT,UTA,Utah,3205958,Report,1595720,1327257,49774,41400,612840,681727,32690,0,813926,25.4,10.4,809032,35.6,1321021,58073,70149,280139,76.6,496256,135637,436142,334841,333940,14.7,760700,779220,55800,0,157126,177715,30921,0,157069,176871,30895,0,61557,89483,6239,0,365762,11.4,364835,16,157279,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,VA,VAA,Virginia,8535519,Report,4829535,3977862,56582,46604,1802892,2082311,91921,738,2620816,30.7,15.7,2609358,39.1,3963925,59388,72356,1000741,73.6,1621832,119348,355399,1336974,1334647,20,2235300,2475135,119100,0,613522,723226,91669,226,613252,721169,91524,226,289508,327624,31876,165,1428643,16.7,1426171,21.4,649173,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,VA2,VA2,Veterans Health,0,Report,4555875,3861303,0,0,2064512,1734268,62522,1,2299587,0,0,2299482,0,3861143,0,0,1335237,0,2409999,0,0,1559971,1559916,0,2374400,2091375,90100,0,837130,722841,62493,0,837111,722805,62488,0,605138,469210,23226,0,1622464,0,1622404,0,1097574,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,VI,VIA,Virgin Islands,104680,Report,57260,39516,54700,37749,16047,23446,23,0,24315,23.2,12.9,24125,29.5,39227,48043,70129,8616,48.4,14244,80040,321758,13547,13480,16.5,20100,36660,500,0,6261,7286,28,0,6256,7224,28,0,2957,2546,10,0,13575,13,13508,16.5,5513,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,VT,VTA,Vermont,623989,Report,409540,323388,65633,51826,157467,159915,5770,236,206956,33.2,17.5,206403,40.5,322698,63276,80304,108858,87.1,174556,139601,327530,109128,108987,21.4,194600,201240,13700,0,53428,55635,5534,65,53417,55505,5530,65,26765,34533,113,42,114662,18.4,114517,22.5,61453,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,WA,WAA,Washington,7614893,Report,4325160,3537203,56799,46451,1629413,1831512,73699,2579,2250118,29.5,16.6,2242480,37.7,3527984,59276,72669,949266,78.5,1644230,135918,357533,1263593,1262035,21.2,1976300,2197260,151600,0,600880,662222,73842,491,600812,660732,73830,491,329195,351318,25361,356,1337435,17.6,1335865,22.4,706230,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
